url,registrable,url_length,url_entropy,num_subdomains,is_idn,has_repeated_digits,mixed_script,domain_age_days,is_newly_registered,is_very_new,registrar,country,days_until_expiry,is_self_signed,cert_age_days,has_credential_form,form_count,password_fields,email_fields,has_suspicious_forms,suspicious_form_count,keyword_count,html_size,external_links,iframe_count,js_obfuscated,js_keylogger,js_form_manipulation,js_eval_usage,js_risk_score,redirect_count,had_redirects,a_count,mx_count,ns_count,favicon_md5,favicon_sha256
https://kotakbank.com/,kotakbank.com,22,3.6292,0,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,0,58288,6,0,1,0,0,0,0,4,1,0,0,0,def00c11b1596db4efee6a9fbe64fc27,95c427fa3143b1896faf42a6406686ce7602cb39052081bb32d12b51c9e047e4
https://bharatpetroleum.in/,bharatpetroleum.in,27,3.9121,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,,
,yonosbi.sbi,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,iciciforexservices.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,onlinesbi.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,yesbank.co.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,viijayabank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,sbilife.co.in,0,0.0,0,0,0,0,8172,0,0,Endurance Digital Domain Technology Private Limited,IN,1689,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,,
,corpbank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,syndicatebank.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,.nic.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,pmo.gov.in,0,0.0,0,0,0,0,434,0,0,National Informatics Centre,,295,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
,incometax.gov.in,0,0.0,0,0,0,0,8111,0,0,National Informatics Centre,,289,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,,
,vi.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,passportindia.gov.in,0,0.0,0,0,0,0,6024,0,0,National Informatics Centre,IN,184,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,,
,nseindia.com,0,0.0,0,0,0,0,9920,0,0,BigRock Solutions Ltd,IN,2862,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,,
,coalindia.in,0,0.0,0,0,0,0,6632,0,0,Gandi SAS,,307,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,
,isro.gov.in,0,0.0,0,0,0,0,7547,0,0,National Informatics Centre,,122,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,,
https://rbi.org.in/,rbi.org.in,19,3.5766,1,0,0,0,8264,0,0,Sify Digital Services Limited,US,136,0,999,0,1,0,0,0,0,1,199049,365,0,1,1,1,0,35,61,1,2,2,6,7bc1ff0d792e15a4d848badbce1651df,85ad5f29fe93b57944ad8e72f5f915da1969287e431ae5154d0564fa203a83c0
,upi.org.in,0,0.0,0,0,0,0,489,0,0,HIOX SOFTWARES PRIVATE LIMITED,,240,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,npci.org.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,paytmbank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,bbps.org.in,0,0.0,0,0,0,0,3767,0,0,Net 4 India Limited,,250,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,india.gov.in,0,0.0,0,0,0,0,7323,0,0,National Informatics Centre,IN,346,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,redbus.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,zomato.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,airindia.co.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,makemytrip.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,goibibo.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,goindigo.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,yatra.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,airvistara.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,denabank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,starhealth.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,drdo.gov.in,0,0.0,0,0,0,0,7837,0,0,National Informatics Centre,IN,197,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,iitm.ac.in,0,0.0,0,0,0,0,8264,0,0,ERNET India,,501,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,
,bihar.gov.in,0,0.0,0,0,0,0,6419,0,0,National Informatics Centre,,154,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,
,email.gov.in,0,0.0,0,0,0,0,3218,0,0,National Informatics Centre,IN,68,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,
,manipalhospitals.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,fortishealthcare.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,cg.gov.in,0,0.0,0,0,0,0,7388,0,0,National Informatics Centre,IN,281,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,hp.gov.in,0,0.0,0,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,,
,andaman.gov.in,0,0.0,0,0,0,0,7452,0,0,National Informatics Centre,,217,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://ongcindia.com/,ongcindia.com,22,3.7888,0,0,0,0,10291,0,0,PDR Ltd. d/b/a PublicDomainRegistry.com,IN,1030,0,999,0,0,0,0,0,0,0,39104,0,0,0,0,0,0,0,0,0,2,1,3,,
https://nhai.gov.in/#/,nhai.gov.in,22,3.6412,1,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,391025,77,0,0,0,0,0,0,95,1,0,0,0,410361453a2aa56bb4b574e4342c92ef,2d3fab1d9a271a36495981e9e535054378ff5beac5c867a764b45bf6532557ff
https://gailonline.com/,gailonline.com,23,3.882,0,0,0,0,8041,0,0,PDR Ltd. d/b/a PublicDomainRegistry.com,IN,359,0,999,0,2,0,0,0,0,1,102773,248,0,0,0,0,0,0,82,1,1,0,4,3a7d55ad9dde3f4a01ecb94d83ffd885,d420696d9286ba0bc4e643901a4771b031ef4eae278317917527743a219ba0f9
https://www.wipro.com/,wipro.com,22,3.516,1,0,0,0,9999,0,0,,,0,0,999,0,2,0,1,0,0,1,360462,49,8,1,0,0,0,0,139,1,0,0,0,d343cd8d97bcde522db104f0ebf19044,f4b7fd9b945d0e45a3928a0b4c47103b0577428b3a83aa5450691b86e256ea58
,aiims.edu,0,0.0,0,0,0,0,10458,0,0,,IN,289,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,
https://arunachalpradesh.gov.in/,arunachalpradesh.gov.in,32,4.0778,1,0,0,0,7109,0,0,National Informatics Centre,IN,195,0,999,0,0,0,0,0,0,1,131865,86,0,0,1,0,0,25,79,1,1,0,4,6e7210276bfa604d36b610140ca5d507,5a0aa9242e2cbb5a080006271dc08ed369b583ffda880b42b0339e08cfefda13
,accounts.mgovcloud.in,0,0.0,0,0,0,0,575,0,0,"MarkMonitor, Inc.",IN,154,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
https://chandigarh.gov.in/,chandigarh.gov.in,26,3.8731,1,0,0,0,7530,0,0,National Informatics Centre,IN,139,0,999,0,1,0,0,0,0,0,94977,53,1,1,0,0,0,0,217,1,1,0,4,7a4659d14ae75420d3e849fcc95bd378,d66eb44a0888a3f736e3a39cb1baa1ffd0c2fba63670458c5866c15a798eb24d
,ap.gov.in,0,0.0,0,0,0,0,8264,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,,
,aicte-india.org,0,0.0,0,0,0,0,5807,0,0,PDR Ltd. d/b/a PublicDomainRegistry.com,IN,2593,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,,
,cbse.gov.in,0,0.0,0,0,0,0,7158,0,0,National Informatics Centre,IN,146,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
https://dnh.gov.in/,dnh.gov.in,19,3.5766,1,0,0,0,3690,0,0,National Informatics Centre,IN,327,0,999,0,1,0,0,0,0,0,169734,60,1,1,0,0,0,0,95,1,1,0,4,92ad84f6b8cfafe0bd79051a45fa37ad,7834ca953a4ed77064f85e555cc1cd606fdf472aca6033196db584e2a7e3e40d
https://delhi.gov.in/,delhi.gov.in,21,3.7849,1,0,0,0,8286,0,0,National Informatics Centre,IN,136,0,999,0,2,0,0,0,0,1,53805,21,1,1,0,0,0,0,47,1,1,3,4,d565261900a248a9b8e2e57df85ea87e,a30309a1fc01baeaf35bf1330f9a5e8c742596b5974086d29686f7a9f22172f3
,bhimupi.org.in,0,0.0,0,0,0,0,3177,0,0,OVI HOSTING PVT LTD,IN,474,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,,
https://assam.gov.in/,assam.gov.in,21,3.6538,1,0,0,0,7215,0,0,National Informatics Centre,IN,89,0,999,0,0,0,0,0,0,0,34813,1,0,0,0,0,0,0,4,1,1,3,4,4f6da84debf8af3f372aa57c54df0574,9aebb9c0c3b5a5267ea73a432c30380c2fe3b9d14d0e2427c7456ad026d1b4d5
,csir.res.in,0,0.0,0,0,0,0,8264,0,0,ERNET India,IN,866,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,,
https://cris.org.in/,cris.org.in,20,3.5842,1,0,0,0,8250,0,0,Sree Jain Infotech dba bookandhost.com,IN,515,0,999,0,0,0,0,0,0,4,265725,85,16,1,0,0,0,0,110,1,1,2,3,,
,gov.in,0,0.0,0,0,0,0,139,0,0,National Internet Exchange of India,,3512,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
,epfindia.gov.in,0,0.0,0,0,0,0,7958,0,0,National Informatics Centre,IN,77,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
https://bsnl.co.in/,bsnl.co.in,19,3.5766,1,0,0,0,8233,0,0,MPS Infotecnics Limited,IN,167,0,999,0,0,0,0,0,0,1,51361,29,1,0,0,0,0,0,77,1,1,1,2,4ce93e381c6d17a785db3af5ff5b40c5,6bf580989888cf919774834e4eb53393a3313d22f21df716a8c9ede2626d71cc
,bseindia.com,0,0.0,0,0,0,0,10512,0,0,"GoDaddy.com, LLC",IN,78,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,,
,finmin.nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aai.aero,0,0.0,0,0,0,0,8573,0,0,Tucows Domains Inc.,,192,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,
https://fssai.gov.in/,fssai.gov.in,21,3.6538,1,0,0,0,6286,0,0,National Informatics Centre,IN,287,0,999,0,1,0,0,0,0,4,3158830,596,0,0,0,0,0,0,162,1,1,1,2,fa412c773e732d43e146a9303d5924ff,200f11cd2d09ce8f3d14b21ba3ec6299f97c927203f4300dae8a29eb916fc20c
,goa.gov.in,0,0.0,0,0,0,0,7762,0,0,National Informatics Centre,IN,272,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,dgft.gov.in,0,0.0,0,0,0,0,7526,0,0,National Informatics Centre,IN,143,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,
https://haryana.gov.in/,haryana.gov.in,23,3.7623,1,0,0,0,7868,0,0,National Informatics Centre,IN,166,0,999,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,1,0,4,,
,bhel.com,0,0.0,0,0,0,0,10319,0,0,PDR Ltd. d/b/a PublicDomainRegistry.com,IN,271,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,
,esic.nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,IN,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,
https://gujarat.gov.in/,gujarat.gov.in,23,3.8492,1,0,0,0,7899,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,2,2,3,,
,icmr.gov.in,0,0.0,0,0,0,0,4857,0,0,National Informatics Centre,IN,255,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,dc.crsorgi.gov.in,0,0.0,0,0,0,0,4253,0,0,National Informatics Centre,IN,129,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
,iitd.ac.in,0,0.0,0,0,0,0,8264,0,0,ERNET India,IN,866,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,,
,idbi.com,0,0.0,0,0,0,0,10023,0,0,"Network Solutions, LLC",IN,933,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,,
,imps.npci.org.in,0,0.0,0,0,0,0,6095,0,0,OVI HOSTING PVT LTD,,1209,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,digilocker.gov.in,0,0.0,0,0,0,0,3893,0,0,National Informatics Centre,IN,124,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,,
,indianrailways.gov.in,0,0.0,0,0,0,0,8264,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
,iitb.ac.in,0,0.0,0,0,0,0,7899,0,0,ERNET India,IN,3058,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,,
https://cert-in.org.in/,cert-in.org.in,23,3.7623,1,0,0,0,8183,0,0,S.G.S. Technologie Pvt Ltd dba Netandhost.com,IN,217,0,999,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,73,1,3,1,2,a445420727d0661026c63aa36191e243,b24d7bdfaf62a932f2e01777e97c8061010d120af3815752123ec27b8536f2d6
,gst.gov.in,0,0.0,0,0,0,0,3291,0,0,National Informatics Centre,IN,360,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,
,meity.gov.in,0,0.0,0,0,0,0,3357,0,0,National Informatics Centre,IN,294,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,hal-india.co.in,0,0.0,0,0,0,0,2785,0,0,DOTCOM SERVICES (INDIA) PVT. LTD - DBA Worldindia.com,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,,
https://irdai.gov.in/,irdai.gov.in,21,3.749,1,0,0,0,3690,0,0,National Informatics Centre,US,327,0,999,0,2,0,0,0,0,2,529631,64,0,1,0,0,0,20,150,1,2,3,4,bb789a0c0bf3438833f601042be4eb54,678f43adcf805acf1d5b4f3ebc2dd29e27ab23612a4482d05918c69afe5e58da
,ircon.org,0,0.0,0,0,0,0,7277,0,0,"GoDaddy.com, LLC",IN,757,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,
,ladakh.nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,kavach.mail.gov.in,0,0.0,0,0,0,0,6602,0,0,National Informatics Centre,IN,337,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
,karnataka.gov.in,0,0.0,0,0,0,0,8080,0,0,National Informatics Centre,IN,320,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,,
,kerala.gov.in,0,0.0,0,0,0,0,7958,0,0,National Informatics Centre,IN,77,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
https://manipur.gov.in/,manipur.gov.in,23,3.882,1,0,0,0,5377,0,0,National Informatics Centre,IN,101,0,999,0,1,0,0,0,0,0,73847,29,0,1,0,0,0,0,53,1,1,1,4,c014b9153f4f6ee4896933799837a890,d806e8c82228a9b51a69587b6db6be6c27db040a8a8e82717add6ff25539ea4a
,jk.gov.in,0,0.0,0,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
,irctc.co.in,0,0.0,0,0,0,0,8533,0,0,GoDaddy,IN,597,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,,
,education.gov.in,0,0.0,0,0,0,0,1862,0,0,National Informatics Centre,IN,328,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,,
,indianbank.in,0,0.0,0,0,0,0,7545,0,0,Sify Digital Services Limited,IN,124,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,
https://meghalaya.gov.in/,meghalaya.gov.in,25,3.9435,1,0,0,0,7454,0,0,National Informatics Centre,IN,215,0,999,0,1,0,0,0,0,0,64969,28,4,1,0,0,0,0,241,1,1,1,4,00c289ba07be371e939aa92a56cc2b7f,3ba88249aab8986e39c1c18ac44cecb4258bb43afd87dea4adde8880df9ae472
https://maharashtra.gov.in/,maharashtra.gov.in,27,3.708,1,0,0,0,8390,0,0,National Informatics Centre,IN,10,0,999,0,1,0,0,0,0,1,2174180,14,0,0,0,0,0,0,67,1,1,1,2,0e9ce4a6f37609ff5596a60dbc5eed95,c55783871f373fd978f144b1d9a7d01d4002dde65509a95a04256ec167a5c113
https://mtnl.net.in/,mtnl.net.in,20,3.3464,1,0,0,0,7899,0,0,#1 Indian Domains dba Mitsu.in,IN,136,0,999,0,1,0,0,0,0,0,67802,126,0,0,0,0,0,0,38,1,1,1,7,,
,mha.gov.in,0,0.0,0,0,0,0,7145,0,0,National Informatics Centre,IN,159,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
https://centralbankofindia.co.in/,centralbankofindia.co.in,33,4.0438,1,0,0,0,8264,0,0,Sify Digital Services Limited,,136,0,999,0,0,0,0,0,0,0,7525,1,0,0,1,0,0,25,1,1,0,3,2,,
,licindia.in,0,0.0,0,0,0,0,7545,0,0,GoDaddy,US,124,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,
,nabard.org,0,0.0,0,0,0,0,9743,0,0,"Network Solutions, LLC",IN,3040,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,
https://newindia.co.in/,newindia.co.in,23,3.7294,1,0,0,0,7895,0,0,Sify Digital Services Limited,IN,139,0,999,0,0,0,0,0,0,2,4108120,126,1,0,0,0,0,0,72,1,1,5,2,0f32eda3820269d7311212ce99e5a2be,934e59ecad6ee8cd81294812b250b13e3e24a30d53ff65007933541fd1b38ad3
https://nationalinsurance.nic.co.in/,nic.co.in,36,3.7454,2,0,0,0,8162,0,0,Netlynx Technologies Pvt. Ltd.,IN,603,0,999,0,1,0,0,0,0,0,277444,108,1,1,0,0,0,0,197,1,1,0,0,936002e74e86e53f60c8fe1645b94e9e,4005a0c45d07b7703b8514048c7072bad338e8e060ae0b7d3e815a43ebf9b8e3
,nhai.gov.in,0,0.0,0,0,0,0,3214,0,0,National Informatics Centre,IN,72,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
https://mizoram.gov.in/,mizoram.gov.in,23,3.882,1,0,0,0,7806,0,0,National Informatics Centre,US,228,0,999,0,0,0,0,0,0,1,28007,1,0,0,0,0,0,0,46,1,1,1,2,cf3042959cdd1fc3d97ec594eaec8d9f,3b0e96532e6d459427070fd0b28aba35fb3a54a97a6432ba54b8c9a28524391a
,neft.rbi.org.in,0,0.0,0,0,0,0,8264,0,0,Sify Digital Services Limited,,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,nciipc.gov.in,0,0.0,0,0,0,0,5632,0,0,National Informatics Centre,IN,211,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
https://nalcoindia.com/,nalcoindia.com,23,3.7951,0,0,0,0,9358,0,0,"GoDaddy.com, LLC",IN,502,0,999,0,2,0,0,0,0,2,399313,189,0,1,0,0,0,0,102,1,1,0,2,057eeb0acc852ba1da02d5cf5b62669d,60d2ccf0597071e6aa63231f132a8824920907c7da97d3e6cf6dbc23975c470d
https://nitc.ac.in/,nitc.ac.in,19,3.3264,1,0,0,0,7776,0,0,ERNET India,IN,2815,0,999,0,4,0,0,0,0,2,308623,55,1,0,0,0,0,0,114,1,1,7,5,a3dc3126e8bcebd0deea8605157ae4e4,c52f37b9e0b2d1eee02d732b9f44206e27d21684d22b0ab6e5f4f2c140f72589
,nsdl.co.in,0,0.0,0,0,0,0,8264,0,0,Endurance Digital Domain Technology Private Limited,IN,1597,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,
,ntpc.co.in,0,0.0,0,0,0,0,8264,0,0,Netlynx Technologies Pvt. Ltd.,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
https://nta.ac.in/,nta.ac.in,18,3.3083,1,0,0,0,2709,0,0,ERNET India,IN,1673,0,999,0,1,0,0,0,0,3,465727,34,1,0,0,0,0,0,55,1,1,1,2,8a32b20ad1495d67a3462a1dd371af90,2d4958e8e642e66ee52cf78c4c339d5adbdecd7c5fa1bd680be9a4040115e36e
