registrable,screenshot_path,screenshot_phash,ocr_text,ocr_length,ocr_has_login_keywords,ocr_has_verify_keywords
aicte-india.org,CSE\out\screenshots\aicte-india.org_641f328e_full.png,eac1159760be1d8d,,0,0,0
aiims.edu,CSE\out\screenshots\aiims.edu_e4c61c3e_full.png,86c140a7c1fabb73,,0,0,0
airtel.com,CSE\out\screenshots\airtel.com_c3fc1664_full.png,8018fee31ffc07e0,,0,0,0
airtel.in,CSE\out\screenshots\airtel.in_c9b45dca_full.png,c567ef4545cec610,,0,0,0
arunachalpradesh.gov.in,CSE\out\screenshots\arunachalpradesh.gov.in_03dcf4df_full.png,dcd41dda45aa43a3,,0,0,0
assam.gov.in,CSE\out\screenshots\assam.gov.in_0dc3b091_full.png,c57f3a20813f6a71,,0,0,0
bankofbaroda.in,CSE\out\screenshots\bankofbaroda.in_c866ab7a_full.png,f62c6c22c99bc393,,0,0,0
bharatpetroleum.in,CSE\out\screenshots\bharatpetroleum.in_828f1daf_full.png,8f0f0f0303e3e3e3,,0,0,0
bhimupi.org.in,CSE\out\screenshots\bhimupi.org.in_625d21ca_full.png,8e4d42c744b6b6b6,,0,0,0
bobibanking.com,CSE\out\screenshots\bobibanking.com_ed76a2b5_full.png,fa31514343653d6b,,0,0,0
bseindia.com,CSE\out\screenshots\bseindia.com_c666cf7d_full.png,92c7479a41ce1cf9,,0,0,0
bsnl.co.in,CSE\out\screenshots\bsnl.co.in_b862995c_full.png,afc4e0c06eb53ec2,,0,0,0
cbse.gov.in,CSE\out\screenshots\cbse.gov.in_5fc35e8f_full.png,8f0f070703e3e3e3,,0,0,0
centralbankofindia.co.in,CSE\out\screenshots\centralbankofindia.co.in_7b7baaff_full.png,b896c7493836c799,,0,0,0
cert-in.org.in,CSE\out\screenshots\cert-in.org.in_bf315547_full.png,af6a6a6a62c78594,,0,0,0
chandigarh.gov.in,CSE\out\screenshots\chandigarh.gov.in_da080203_full.png,e6459115155fccce,,0,0,0
cris.org.in,CSE\out\screenshots\cris.org.in_01404dab_full.png,d195551555535557,,0,0,0
crsorgi.gov.in,CSE\out\screenshots\crsorgi.gov.in_1e14b51f_full.png,99bc44bfbb404783,,0,0,0
delhi.gov.in,CSE\out\screenshots\delhi.gov.in_dde073d8_full.png,cd8100bfa99d7f42,,0,0,0
dgft.gov.in,CSE\out\screenshots\dgft.gov.in_ca8a7992_full.png,99993f374dc442c6,,0,0,0
digilocker.gov.in,CSE\out\screenshots\digilocker.gov.in_9996b907_full.png,807f03bf8097836f,,0,0,0
dnh.gov.in,CSE\out\screenshots\dnh.gov.in_3ec6ca8b_full.png,c9b5155c64c28fa7,,0,0,0
education.gov.in,CSE\out\screenshots\education.gov.in_df83fee1_full.png,8f0f0f0303e3e3e3,,0,0,0
epfindia.gov.in,CSE\out\screenshots\epfindia.gov.in_3037960e_full.png,ee3f30c0c194353f,,0,0,0
esic.nic.in,CSE\out\screenshots\esic.nic.in_835b7bf7_full.png,b6db258d38f0c227,,0,0,0
fssai.gov.in,CSE\out\screenshots\fssai.gov.in_042dec4d_full.png,8b80707a97157b6b,,0,0,0
gailonline.com,CSE\out\screenshots\gailonline.com_6592479f_full.png,bf9f14ca40cac98b,,0,0,0
goa.gov.in,CSE\out\screenshots\goa.gov.in_39a5ec08_full.png,b4ab3d9450fcca16,,0,0,0
gst.gov.in,CSE\out\screenshots\gst.gov.in_5e442330_full.png,b5a524bb2b0bc347,,0,0,0
gujarat.gov.in,CSE\out\screenshots\gujarat.gov.in_aec61662_full.png,8707070703f1f1fb,,0,0,0
hal-india.co.in,CSE\out\screenshots\hal-india.co.in_298d9eb2_full.png,e4601091afee1ddb,,0,0,0
haryana.gov.in,CSE\out\screenshots\haryana.gov.in_456a77a3_full.png,b333233333333333,,0,0,0
hdfcbank.com,CSE\out\screenshots\hdfcbank.com_e78f0b8d_full.png,b6bd2636b4e642c2,,0,0,0
hdfcergo.com,CSE\out\screenshots\hdfcergo.com_e2fca368_full.png,aec713f0118d26f6,,0,0,0
hdfclife.com,CSE\out\screenshots\hdfclife.com_d9a030d0_full.png,aa6e45175d1178ea,,0,0,0
icicibank.com,CSE\out\screenshots\icicibank.com_d4347fe6_full.png,f0707072525b1f8f,,0,0,0
icicidirect.com,CSE\out\screenshots\icicidirect.com_9ca7b3ed_full.png,beaaf8381caee860,,0,0,0
idbi.com,CSE\out\screenshots\idbi.com_7553c3ba_full.png,ceda132764ad12f8,,0,0,0
iitb.ac.in,CSE\out\screenshots\iitb.ac.in_40a54e66_full.png,be3e144c48d03f3e,,0,0,0
iitd.ac.in,CSE\out\screenshots\iitd.ac.in_8f6ea011_full.png,eb95545a126e39e2,,0,0,0
indianbank.in,CSE\out\screenshots\indianbank.in_a271e7fe_full.png,9fc9401e62e1b727,,0,0,0
iocl.com,CSE\out\screenshots\iocl.com_ec78660f_full.png,a2931a4763b16ccf,,0,0,0
irctc.com,CSE\out\screenshots\irctc.com_7476fe93_full.png,a787c039e9d146a7,,0,0,0
irdai.gov.in,CSE\out\screenshots\irdai.gov.in_f73086ab_full.png,f2857d7385798710,,0,0,0
jharkhand.gov.in,CSE\out\screenshots\jharkhand.gov.in_d88f12e9_full.png,9ce31ef00ce30ee3,,0,0,0
maharashtra.gov.in,CSE\out\screenshots\maharashtra.gov.in_b8e8c42d_full.png,d08caf3d60d62d6a,,0,0,0
mail.gov.in,CSE\out\screenshots\mail.gov.in_e79819ad_full.png,b3335c4c4e667919,,0,0,0
manipur.gov.in,CSE\out\screenshots\manipur.gov.in_a8c8449e_full.png,8341608f8df8bd1f,,0,0,0
meghalaya.gov.in,CSE\out\screenshots\meghalaya.gov.in_6862f305_full.png,b68a49d0b436cbcb,,0,0,0
meity.gov.in,CSE\out\screenshots\meity.gov.in_18c27c84_full.png,8f0f070703e3e3e3,,0,0,0
mgovcloud.in,CSE\out\screenshots\mgovcloud.in_fd6e9c1f_full.png,da56706428e58bbe,,0,0,0
mizoram.gov.in,CSE\out\screenshots\mizoram.gov.in_01a63093_full.png,b6beb6044cc349e3,,0,0,0
mp.gov.in,CSE\out\screenshots\mp.gov.in_d6f8d731_full.png,afc0407af093aeae,,0,0,0
mtnl.net.in,CSE\out\screenshots\mtnl.net.in_30a10b51_full.png,cabbbb6c30a199e0,,0,0,0
nagaland.gov.in,CSE\out\screenshots\nagaland.gov.in_5fb0f659_full.png,ccba324c4cb333cd,,0,0,0
nalcoindia.com,CSE\out\screenshots\nalcoindia.com_565ab2b1_full.png,e666e666607053f1,,0,0,0
netpnb.com,CSE\out\screenshots\netpnb.com_0933549d_full.png,ec6c4c4c4e466c7d,,0,0,0
newindia.co.in,CSE\out\screenshots\newindia.co.in_50e6b603_full.png,bfc9c8f8c2b240ad,,0,0,0
nhai.gov.in,CSE\out\screenshots\nhai.gov.in_6d0009ad_full.png,844c6ada1c35e3eb,,0,0,0
nic.co.in,CSE\out\screenshots\nic.co.in_b98ef834_full.png,ffff00f0fef80000,,0,0,0
nic.gov.in,CSE\out\screenshots\nic.gov.in_6717bfaa_full.png,8f0f070703e3e3e3,,0,0,0
nitc.ac.in,CSE\out\screenshots\nitc.ac.in_d9b2c3ca_full.png,8e8f70109f9fe0f0,,0,0,0
nta.ac.in,CSE\out\screenshots\nta.ac.in_99a7d9d8_full.png,aa902ad4b5e7f522,,0,0,0
ntpc.co.in,CSE\out\screenshots\ntpc.co.in_ee482a85_full.png,a73d38f0e0c2cacb,,0,0,0
ongcindia.com,CSE\out\screenshots\ongcindia.com_1d5606c5_full.png,9e0e6070797f7701,,0,0,0
orientalinsurance.org.in,CSE\out\screenshots\orientalinsurance.org.in_ab79b7bb_full.png,c9496b2f3c362e32,,0,0,0
pnbindia.in,CSE\out\screenshots\pnbindia.in_c7493779_full.png,bf1b58104345e3be,,0,0,0
powergrid.in,CSE\out\screenshots\powergrid.in_7929c3ed_full.png,b636362666666666,,0,0,0
punjab.gov.in,CSE\out\screenshots\punjab.gov.in_f7b1b0dd_full.png,80fb2bb740167e66,,0,0,0
py.gov.in,CSE\out\screenshots\py.gov.in_1ddc97e3_full.png,ebe310b61cc9c959,,0,0,0
railtelindia.com,CSE\out\screenshots\railtelindia.com_eb780740_full.png,bd5054ee7c10393d,,0,0,0
rajasthan.gov.in,CSE\out\screenshots\rajasthan.gov.in_52bcf139_full.png,f2541272087753df,,0,0,0
rbi.org.in,CSE\out\screenshots\rbi.org.in_b46220be_full.png,fa6a62b5859dc8c8,,0,0,0
recindia.nic.in,CSE\out\screenshots\recindia.nic.in_12735a9d_full.png,ce1317cec99dcc48,,0,0,0
sail.co.in,CSE\out\screenshots\sail.co.in_2264097b_full.png,9e194e469b8f4e19,,0,0,0
sbi.co.in,CSE\out\screenshots\sbi.co.in_c0feeec6_full.png,be81c166c43b3b99,,0,0,0
sbicard.com,CSE\out\screenshots\sbicard.com_19e416c2_full.png,877c077c076f2703,,0,0,0
sbiepay.sbi,CSE\out\screenshots\sbiepay.sbi_2fe69f1c_full.png,bb48481b49493fcf,,0,0,0
sebi.gov.in,CSE\out\screenshots\sebi.gov.in_a6ff308c_full.png,c34313b1b93d6969,,0,0,0
sikkim.gov.in,CSE\out\screenshots\sikkim.gov.in_3cf51cc3_full.png,eaca58c96b859535,,0,0,0
tn.gov.in,CSE\out\screenshots\tn.gov.in_ec86b210_full.png,9a9224e563e3bd38,,0,0,0
tripura.gov.in,CSE\out\screenshots\tripura.gov.in_1207646c_full.png,aef041a7c08f1fc9,,0,0,0
uidai.gov.in,CSE\out\screenshots\uidai.gov.in_7aca623e_full.png,b1b3933b9991a9a2,,0,0,0
wipro.com,CSE\out\screenshots\wipro.com_99dd5fbe_full.png,aa19d0cceae887c7,,0,0,0
yonobusiness.sbi,CSE\out\screenshots\yonobusiness.sbi_30671ce0_full.png,b39370ca4accceca,,0,0,0
